Top 100 Nodes by In-degree
Node, In-Degree
33 3311
1644 2014
145 1759
1764 1720
1882 1652
952 1584
2093 1578
1249 1466
619 1460
2376 1421
4251 1400
1113 1384
4972 1372
3 1366
903 1349
2569 1284
1351 1256
957 1249
172 1214
155 1213
1558 1212
1511 1209
127 1197
3493 1196
3786 1172
3823 1171
4709 1153
3052 1146
960 1125
1446 1104
2871 1080
7438 1076
853 1060
736 1058
149 1051
1803 1041
867 1040
338 1033
3878 1015
1964 1011
2731 993
519 992
63 985
907 981
353 979
1431 970
302 966
2207 964
1661 962
1694 955
990 952
213 944
887 942
142 940
5004 937
393 936
2607 935
2390 932
1055 930
1298 914
308 914
1021 913
1450 911
2952 905
374 905
131 905
1646 902
2142 890
921 890
924 886
6908 880
2816 877
5758 869
1387 864
844 863
1190 862
3433 860
1514 854
1164 854
1754 853
2775 848
816 846
4018 845
923 842
203 841
3185 840
1030 840
3795 834
80 834
1454 832
2371 827
1591 825
4847 819
4339 815
1188 815
4301 795
1129 792
25 792
8105 791
1682 791

Top 100 Nodes by Out-degree
Node, Out-Degree
3215 100022
1764 31892
1913 22668
4565 19430
7756 18836
1896 18264
3658 17905
1113 16442
2607 15434
7438 14448
4935 13536
1190 13367
6714 13365
299 13005
7605 12861
4551 12694
25 12215
4690 11911
2093 11168
1722 10854
5758 10504
12147 10344
138 10240
4972 9771
2387 9631
2857 9612
4045 9365
6718 9339
1591 8861
3058 8775
1661 8623
6777 8419
1799 8289
1454 8042
63 7992
1987 7951
1344 7860
2333 7638
3690 7619
4294 7617
3336 7328
8615 7274
3504 7171
4709 7056
3805 7017
1075 6944
3443 6861
45 6836
24803 6784
3823 6752
1304 6752
418 6704
12088 6647
1511 6551
2043 6447
7318 6358
7902 6353
12762 6338
2376 6314
1021 6255
11728 6244
205 6206
1659 6192
14289 6174
13178 6141
1611 6140
7303 6138
4439 6113
2017 6020
1129 6014
15937 6013
555 5893
206 5758
4018 5696
8720 5582
66 5563
966 5536
4813 5457
4339 5425
2390 5399
2621 5383
1935 5289
2871 5268
2602 5236
8275 5204
1329 5114
3052 5088
853 5088
69 5080
4312 5068
2418 5018
16996 5017
1692 5000
7812 4985
11934 4945
1382 4912
365 4907
1036 4865
9460 4863
4466 4849
